county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
San Bernardino County,4/25/2020,50,37,20,,20
San Diego County,4/25/2020,2029,409,44,44,
San Francisco,4/25/2020,1434,873,91,91,
San Joaquin County,4/25/2020,,,,,
San Luis Obispo County,4/25/2020,155,,14,14,
San Mateo County,4/25/2020,140,100,,,
Santa Barbara County,4/25/2020,98,37,,,
Santa Clara County,4/25/2020,660,243,105,105,
Santa Cruz County,4/25/2020,27,20,35,,
Shasta County,4/25/2020,20,,,,
Sierra County,4/25/2020,,,,,
Siskiyou County,4/25/2020,,,,,
Solano County,4/25/2020,,,,,
Sonoma County,4/25/2020,45,45,,,
Stanislaus County,4/25/2020,123,52,,,
Sutter County,4/25/2020,16,16,,,
Tehama County,4/25/2020,,,,,
Trinity County,4/25/2020,,,,,
Tulare County,4/25/2020,56,,,,
Tuolumne County,4/25/2020,,,,,
Ventura County,4/25/2020,388,266,,,
Yolo County,4/25/2020,246,212,,,
Yuba County,4/25/2020,39,18,,,
Wilton Rancheria,4/25/2020,,,,,
Alameda County,4/26/2020,385,354,91,91,
Alpine County,4/26/2020,,,,,
Amador County,4/26/2020,,,,,
Butte County,4/26/2020,98,98,,,
Calaveras County,4/26/2020,73,25,,,
Colusa County,4/26/2020,,,,,
Contra Costa County,4/26/2020,340,129,,,
Del Norte County,4/26/2020,,,,,
El Dorado County,4/26/2020,26,,,,
Fresno County,4/26/2020,305,250,28,28,
Glenn County,4/26/2020,,,,,
Humboldt County,4/26/2020,44,11,15,,
Imperial County,4/26/2020,36,,37,,
Inyo County,4/26/2020,,,,,
Kern County,4/26/2020,,,15,15,
Kings County,4/26/2020,,,,,
Lake County,4/26/2020,15,,,,
Lassen County,4/26/2020,,,,,
Los Angeles County,4/26/2020,3292,1099,658,649,
